Year,AMJ.north.stress,AMJ.south.stress,SE.wind.Oct.Apr,NW.wind.Oct.Apr,SE.wind.May.Sep,NW.wind.May.Sep,ARWTH.LAT,TANNER.LAT,OPIE.LAT,POLLOCK.LAT,COD.LAT,FLTHD.LAT,HALIBUT.LAT,ROCKSOLE.LAT,YLFIN.LAT,PLAICE.LAT,POACHER.LAT,SKATE.LAT,EBS.JEL.CPUE,EBS.J.POLL.CPUE,EBS.J.COD.CPUE,AKCLIM_EBS_BOTTOM.TEMP,AKCLIM_EBS_JanFebICE,AKCLIM_EBS_MarAprICE,EBS_OPEN.WATER.BLOOM,EBS_BLOOM.TIMING,EBS_BLOOM.SIZE,EBS_PHYTO.SIZE.RATIO,EBS_PSUEDOCALANUS,EBS_CALANUS
1948,0.076933592,0.046979598,NA,NA,0.196129032,0.156344086,,,,,,,,,,,,,,,,,,,,,,,,
1949,0.037929527,0.028107889,0.201294711,0.165328067,0.138064516,0.195268817,,,,,,,,,,,,,,,,,,,,,,,,
1950,0.033793491,0.026461619,0.140860215,0.228176432,0.215913978,0.266666667,,,,,,,,,,,,,,,,,,,,,,,,
1951,0.073349738,0.046849842,0.159326311,0.104772877,0.144301075,0.091397849,,,,,,,,,,,,,,,,,,,,,,,,
1952,0.044521366,0.039962741,0.193315324,0.224937762,0.20344086,0.209032258,,,,,,,,,,,,,,,,,,,,,,,,
1953,0.062760405,0.037500439,0.188457318,0.131742374,0.210322581,0.156129032,,,,,,,,,,,,,,,,,,,,,,,,
1954,0.031391945,0.042310319,0.188983981,0.164274742,0.124516129,0.207956989,,,,,,,,,,,,,,,,,,,,,,,,
1955,0.056875609,0.038413288,0.195918367,0.102797893,0.235053763,0.164301075,,,,,,,,,,,,,,,,,,,,,,,,
1956,0.066149655,0.037182684,0.243535145,0.121987393,0.261505376,0.158064516,,,,,,,,,,,,,,,,,,,,,,,,
1957,0.052535374,0.041814844,0.130107527,0.184342769,0.176344086,0.129677419,,,,,,,,,,,,,,,,,,,,,,,,
1958,0.067990509,0.061520376,0.122865921,0.155058152,0.227526882,0.104731183,,,,,,,,,,,,,,,,,,,,,,,,
1959,0.067955686,0.037801431,0.16374808,0.147048497,0.288817204,0.11827957,,,,,,,,,,,,,,,,,,,,,,,,
1960,0.057746099,0.042883349,0.122766036,0.136940516,0.28172043,0.143010753,,,,,,,,,,,,,,,,,,,,,,,,
1961,0.03980152,0.038974958,0.18418916,0.149615975,0.16344086,0.182365591,,,,,,,,,,,,,,,,,,,,,,,,
1962,0.044673328,0.056012075,0.150109721,0.170945798,0.308602151,0.221505376,,,,,,,,,,,,,,,,,,,,,,,,
1963,0.038012143,0.038078897,0.173985078,0.139697169,0.229892473,0.143655914,,,,,,,,,,,,,,,,,,,,,,,,
1964,0.061465431,0.03748443,0.226834048,0.13103978,0.208817204,0.202580645,,,,,,,,,,,,,,,,,,,,,,,,
1965,0.028973739,0.0425396,0.184529296,0.126486724,0.150107527,0.190107527,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.060254436,0.062122385,0.140004389,0.142933948,0.27483871,0.137419355,,,,,,,,,,,,,,,,,,,,,,,,
1967,0.030624054,0.051717013,0.159359228,0.218268598,0.183225806,0.137849462,,,,,,,,,,,,,,,,,,,,,,,,
1968,0.047847245,0.037351864,0.178844218,0.129964511,0.19827957,0.180860215,,,,,,,,,,,,,,,,,,,,,,,,
1969,0.053120746,0.044521327,0.127781435,0.192264648,0.202150538,0.151397849,,,,,,,,,,,,,,,,,,,,,,,,
1970,0.046742575,0.04659616,0.117390827,0.12682686,0.21483871,0.163225806,,,,,,,,,,,,,,,,,,,,,,,,
1971,0.07432899,0.059737798,0.17512618,0.122032039,0.242365591,0.150537634,,,,,,,,,,,,,,,,,,,,,,,,
1972,0.03596936,0.06122728,0.173139467,0.14136342,0.144516129,0.209247312,,,,,,,,,,,,,,,,,0.121329826,1.085136153,,,,,,
1973,0.056362866,0.041778131,0.227079219,0.16395655,0.209677419,0.169677419,,,,,,,,,,,,,,,,,0.187774784,1.02687591,,,,,,
1974,0.07868597,0.040305577,0.214461268,0.150449857,0.211612903,0.208172043,,,,,,,,,,,,,,,,,0.396186209,0.883769983,,,,,,
1975,0.042031388,0.034096134,0.199001536,0.128648233,0.229892473,0.123870968,,,,,,,,,,,,,,,,0.792400763,1.175895581,1.754980028,,,,,,
1976,0.044110095,0.024377633,0.243995974,0.089411515,0.189462366,0.247096774,,,,,,,,,,,,,,,,1.020493968,1.73933285,1.996558533,,,,,,
1977,0.031973715,0.043394767,0.155244679,0.071900373,0.23655914,0.149247312,,,,,,,,,,,,,,,,2.649380199,0.955816606,0.711338323,,,,,,
1978,0.059634135,0.041571353,0.097695853,0.208711872,0.18344086,0.221290323,,,,,,,,,,,,,,,,3.290383157,-0.361058928,-0.290153736,,,,,,
1979,0.057326049,0.069192032,0.088479263,0.252128593,0.084946237,0.215698925,,,,,,,,,,,,,,,,3.883235606,-1.866273753,-1.463378569,,,,,,
1980,0.08872675,0.053829076,0.165490757,0.116621643,0.175698925,0.177419355,,56.89551142,58.41663971,,,,,,,,,,,,,3.493986911,0.565096858,0.011302441,,,,,,
1981,0.035981144,0.024292776,0.142593812,0.131928901,0.210322581,0.129462366,,56.98292837,58.30566398,,,,,,,,,,,,,3.93222731,0.404435177,-0.644178457,,,,,,
