"","YEAR","COMMON_NAME","mean_weighted_lat"
"1",1982,"yellowfin sole",57.875011337895
"2",1983,"yellowfin sole",57.9964614197308
"3",1984,"yellowfin sole",57.998822884597
"4",1985,"yellowfin sole",57.8731061790553
"5",1986,"yellowfin sole",57.9245379939991
"6",1987,"yellowfin sole",57.9661946347728
"7",1988,"yellowfin sole",58.0421135746216
"8",1989,"yellowfin sole",58.1217582403035
"9",1990,"yellowfin sole",58.0273979387239
"10",1991,"yellowfin sole",58.0543196227606
"11",1992,"yellowfin sole",57.896243261066
"12",1993,"yellowfin sole",58.0072352590293
"13",1994,"yellowfin sole",58.082104033879
"14",1995,"yellowfin sole",58.0177096734026
"15",1996,"yellowfin sole",58.0023512619672
"16",1997,"yellowfin sole",58.0461266826173
"17",1998,"yellowfin sole",58.1990162315682
"18",1999,"yellowfin sole",58.1699720642819
"19",2000,"yellowfin sole",58.1102304952782
"20",2001,"yellowfin sole",58.1009734984824
"21",2002,"yellowfin sole",58.1258474414023
"22",2003,"yellowfin sole",58.121947515103
"23",2004,"yellowfin sole",58.1062012567527
"24",2005,"yellowfin sole",58.0722800205119
"25",2006,"yellowfin sole",58.031786910319
"26",2007,"yellowfin sole",58.0014370348148
"27",2008,"yellowfin sole",58.0484886495408
"28",2009,"yellowfin sole",58.0511120471129
"29",2010,"yellowfin sole",57.9855734674271
"30",2011,"yellowfin sole",58.0086189246198
"31",2012,"yellowfin sole",58.025017404453
"32",2013,"yellowfin sole",57.9816078272897
"33",2014,"yellowfin sole",57.9312431300907
"34",2015,"yellowfin sole",57.936864846379
"35",2016,"yellowfin sole",57.983560367857
"36",2017,"yellowfin sole",58.0225036090937
"37",2018,"yellowfin sole",58.0792043025839
"38",2019,"yellowfin sole",58.1852658058681
"39",2021,"yellowfin sole",58.1395788630279
"40",2022,"yellowfin sole",58.191216282607
"41",1982,"rock sole",58.1075352046784
"42",1983,"rock sole",58.0802270254958
"43",1984,"rock sole",58.0898136056338
"44",1985,"rock sole",58.0923163739377
"45",1986,"rock sole",58.0968413597734
"46",1987,"rock sole",58.1808661690141
"47",1988,"rock sole",58.2841718648649
"48",1989,"rock sole",58.2868365683646
"49",1990,"rock sole",58.2639425405405
"50",1991,"rock sole",58.2774608894879
"51",1992,"rock sole",58.2073392394366
"52",1993,"rock sole",58.2746827272727
"53",1994,"rock sole",58.2641627540107
"54",1995,"rock sole",58.2707180533333
"55",1996,"rock sole",58.215068679934
"56",1997,"rock sole",58.2383954552633
"57",1998,"rock sole",58.3234080172116
